,name,price,description1,description2
54,Charmander Amigurumi Pattern,$2.99,"This pattern is available with a Club Crochet Membership, learn more and upgrade your account here
|| I’m already a Club Crochet Member
Pattern can be downloaded immediately after purchase
**This listing is for a PDF pattern with instructions on making the character, not the character itself**
Have your own crocheted Charmander sitting safe and sound on your dresser or hanging on your back pack! This miniature crocheted Charmander Pokemon amigurumi measures about 2 inches tall when finished and includes 5 unique video tutorials to help you get through the tough parts!
*Includes full length video tutorial for the more difficult parts of the pattern!*
*Includes a printable version of the pattern as well*
Purchase on Etsy || Purchase on Ravelry","Description
Materials:
• The Yarn (Worsted Weight)
– Orange (Main color)
– Sand (Belly)
– Red (Fire)
– Yellow (Fire)
• Size G6/4.00mm Hook
• Stuffing
• Needle
Gauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2” tall
Worked in the Round
The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– BLO : Back Loops Only
– FLO: Front Loops Only"
55,Flat Cactus Amigurumi Pattern,$3.99,"Pattern can be downloaded and accessed immediately after purchase
In this amigurumi crochet pattern we’ll be crocheting a flat cactus! This flat cactus amigurumi pattern is designed with a full video tutorial and PDF to teach you how to sew together pieces, as well as a new technique for adding secure spikes on your cactus.
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight)
– Yellow (Flower)
– Green (Body)
– Brown (Dirt Filler)
– White (Spikes and Flower)
– Beige (Pot)
• 8mm Safety Eyes x 2
• Black Thread (Mouth)
• Size G6/4.00mm Hook
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” long
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
56,Carnivorous Alien Plant Amigurumi Pattern,$3.99,"Feed me!!! In this lesson we’ll be crocheting a deadly, charismatic, and extremely hungry little plant! It’s totally safe though… probably. This tutorial will teach you how to crochet a carnivorous alien plant perfect for a little pot!
**This listing is for a PDF pattern with instructions on making the character, not the character itself**
Pattern can be downloaded immediately after purchase including…
• Includes full length video tutorial
• Printable PDF version
• Interactive checkmarks included for keeping track of progress
• Left handed video version available","Description
The Materials:
Feed me!!! In this lesson we’ll be crocheting a deadly, charismatic, and extremely hungry little plant! It’s totally safe though… probably. This tutorial will teach you how to crochet a carnivorous alien plant perfect for a little pot!
**This listing is for a PDF pattern with instructions on making the character, not the character itself**
Pattern can be downloaded immediately after purchase including…
• Includes full length video tutorial
• Printable PDF version
• Interactive checkmarks included for keeping track of progress
• Left handed video version available• Worsted Weight yarn
– Green
– Sage Green
– Orange
– Purple
– Pink
– White
– Brown
• Size US-G/4.00mm
• Needle to sew in ends
• Scissors
• A small amount of stuffing
• Pipe Cleaner
• Mini pot (2″ x 2.5″) *optional
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1”
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
57,Santa Claus Amigurumi Pattern,$2.99,"Pattern can be downloaded immediately after purchase
  In this crochet pattern we’ll be crocheting the great Saint Nickolas himself! This pattern not only teaches you how to make the jolly fat fella, but also how to turn him into a fun Christmas Tree ornament! This Crocheted Santa Claus measures about 2″ tall and 3″ wide when finished and includes a full unique video tutorial to help you get through the tough parts!
  *Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– White
– Red
– Skin tone
– Maroon
– Black
•Size G6/4.00mm Hook
•Stuffing
•Needle
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 2” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
58,Candy Corn Beginner Crochet Pattern,$1.99,"Pattern can be downloaded and accessed immediately after purchase
In this amigurumi crochet pattern we’ll be making an adorable, no sew, candy corn! This pattern features a starters guide to doing stripes and color changes, and includes a unique trick for sewing closed. It’s perfect for beginners, but includes an optional fun trick for color changes for those looking to advance their skills!
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight)
– White
– Orange
– Yellow
• Black Thread
• Size G6/4.00mm Hook
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
59,Ice Cream Buddies Amigurumi Crochet Pattern,$4.99,"Pattern can be downloaded and accessed immediately after purchase
We all scream for ice cream! In this amigurumi crochet pattern we’ll be adorable ice cream cones! These ice cream buddies has a few secrets to share, like their little secret body, little cherry friend, and alternate cone options!
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials Needed:
• The Yarn (Worsted Weight)
– Beige (cone)
– Color A (Ice Cream)
– Red (Cherry optional*)
• Black Thread
• Size G6/4.00mm Hook
• 6mm/6mm Safety Eyes x 2
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 5” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
60,Dragon Amigurumi Pattern,$3.99,"Pattern can be downloaded immediately after purchase
In this amigurumi pattern learn how to crochet a dragon! This amigurumi dragon pattern features pipe cleaners in all the body parts so that it can be fully pose-able! It’s a little tricky and not for beginners, but with a full length video tutorial and an interactive PDF it is accessible for crocheters that have made amigurumi before.
*Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– Color A
– Color B
– White
•Size G6/4.00mm Hook
•Stuffing
•Needle
•6mm Safety Eyes x 2
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1”
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
61,Eevee Amigurumi Pattern,$2.99,"This pattern is available with a Club Crochet Membership, learn more and upgrade your account here
|| I’m already a Club Crochet Member
Pattern can be downloaded immediately after purchase
**This listing is for a PDF pattern with instructions on making the character, not the character itself**
Have your own crocheted Eevee sitting safe and sound on your dresser or hanging on your back pack! This little crocheted Eevee Pokemon amigurumi measures about 2 inches tall when finished and includes 5 unique video tutorials to help you get through the tough parts!
*Includes full length video tutorial for the more difficult parts of the pattern!*
*Includes a printable version of the pattern as well*
Purchase on Etsy || Purchase on Ravelry","Description
Materials:
• The Yarn (Worsted Weight)
– Brown (Main Color)
– Fuzzy White (Fur)
– Black (Nose)
• Size G6/4.00mm Hook
• Stuffing
• Needle
Gauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2” tall
Worked in the Round
The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– BLO : Back Loops Only
– FLO: Front Loops Only"
62,Link Amigurumi Pattern,$2.99,"This pattern is available with a Club Crochet Membership, learn more and upgrade your account here
|| I'm already a Club Crochet Member
**This listing is for a PDF pattern with instructions on making the character, not the character itself**
Pattern can be downloaded immediately after purchase
Have your own crocheted Link as a finger puppet, sitting safe and sound on your dresser, or hanging on your back pack! This little Link from The Legend of Zelda miniature amigurumi measures about 2 inches tall when finished and includes a full unique video tutorial to help you get through the tough parts!
*Includes full length video tutorial for the more difficult parts of the pattern!*
*Includes a printable version of the pattern as well*
Purchase on Etsy || Purchase on Ravelry
Get the full Legend of Zelda Finger Puppet Pattern Bundle","Description
Materials:
• The Yarn (Worsted Weight)
– Green (Clothing)
– Light Green (Undershirt)
– Brown (Gloves / Shoes)
– Blue (Shield / Sword)
– White (Undershirt / Pants)
– Grey (Shield / Sword)
– Sand (Skin Tone)
– Yellow (Hair / Triforce)
– Red Thread (Sheild Detail)
• Size G6/4.00mm Hook
• Plastic Saftey Bead Eyes
• Stuffing
• Needle
Gauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2” tall
Worked in the Round The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– BLO : Back Loops Only
– Bo : Bobble Stitch
1. Yarn over, insert hook into stitch
2. Yarn over and pull through
3. Yarn over and pull through 2 loops
4. Repeat steps 1 – 3 four times total
5. Yarn over and pull through all the loops on the hook"
63,Halloween Pattern Bundle,$12.99,"**This listing is for a PDF patterns with instructions on making the characters, not the characters themselves**
  Patterns can be downloaded immediately after purchase
  Have your own crocheted monsters and ghouls sitting safe and sound on your dresser or hanging on your backpack! These Halloween Amigurumis measure about 2 inches tall when finished and includes a full unique video tutorial for each pattern to help you get through the tough parts!
  *Includes full-length video tutorial for each pattern!*
  Includes the following amigurumi patterns:
– Ghost
– Witch
– Werewolf
– Vampire
– Zombie
– Frankenstein
– Pumpkin
– Bat","Description
Materials:
• The Yarn (Worsted Weight)
• Size G6/4.00mm Hook
• Plastic Saftey Bead Eyes
• Stuffing
• NeedleGauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2” tallWorked in the Round The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– FLO : Front Loops Only
– BLO : Back Loops Only
– Bo : Bobble Stitch
1. Yarn over, insert hook into stitch
2. Yarn over and pull through
3. Yarn over and pull through 2 loops
4. Repeat steps 1 – 3 four times total
5. Yarn over and pull through all the loops on the hook"
64,Black Rhino Amigurumi Crochet Pattern,$2.99,"100% of this purchase goes to the World Wildlife Fund.
Pattern can be downloaded immediately after purchase
This Rhino’s name is Matumaini which means “Hope” in Swahili, which is very apt because while populations are on the rise, the Black Rhino is still critically endangered! Purchase this pattern to download a PDF version that includes a full length video tutorial.
*Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– Grey
– Off-White
•Size G6/4.00mm Hook
•Safety Eyes x2
•Needle
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
65,Bix the Alien Amigurumi Crochet Pattern,$3.99,"Pattern can be downloaded and accessed immediately after purchase
In this lesson we’ll be crocheting the adorably sweet Bix the Alien! With 4 eyes, 3 fingers, and 2 butts, this alien is perfectly prepared to be taken to your leader.
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials Needed:
• The Yarn (Worsted Weight)
– Green (Alien)
• Size G6/4.00mm Hook
• 8mm/16mm Safety Eyes x 1
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3 – 5” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
66,Bonsai Tree Planter Crochet Pattern,$3.99,"Pattern can be downloaded and accessed immediately after purchase
In this amigurumi crochet pattern we’ll be crocheting a bonsai tree with a pot! This pattern will teach you how to crochet and customize your bonsai tree with various sections. We’ll be using a new stitch called the Loop Stitch to create grass, and use pom-poms and thread to add our leaves!
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight)
– Brown (Tree)
– Forest Green (Grass)
– Blue / Beige (Pot)
• Mini Pom-Poms x 10 (Tutorial included*)
• Thread
• Pipe Cleaners x 3
• Size G6/4.00mm Hook
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” long
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
67,Seasonal Kit — Land Before Twine,$80,"In this seasonal kit inspired by the prehistoric, you'll find a variety of dinosaur themed projects, from the Brontosaurus and Trex, to the pterodactyl above, and even a volcano bag to hold them all in! This crochet kit has everything you need to never miss a stitch, including a keychain, stuffing, and 3 sizes of eyes, plus our exclusive Club Crochet Amigurumi Cotton yarn in 8 different colors!
What's Included:
This kit includes all the materials you'll need to make all 9 projects in the themed season, plus 6 mystery projects! It also includes 3 month's of Club Crochet Pattern Membership with access to over 300 additional patterns in the library!
The Materials:
6 Balls of 100% Cotton Yarn – 200 ft
Red, White, Yellow, Grey, Sage Green, and Blue
1 Small Balls of White Yarn – 45 ft
2 Mini Balls of Yarn – 25 ft
Pink
Black
6mm Safety Eyes x 10
8mm Safety Eyes x 10
12mm Safety Eyes x 10
Keychain
2 Stuffing Packets
The Projects:
This kit includes 10 Unique Projects designed for the materials included. However, it also includes dozens of additional alternative patterns that can also be made with your membership!
Triceratops Amigurumi
T-Rex Amigurumi
Stegosaurus Amigurumi
Pterodactyl Amigurumi
Ankylosaurus Amigurumi
Raptor Amigurumi
Plesiosaur Amigurumi
Brontosaurus Amigurumi
Volcano Bag!
???? - Mystery pattern releases August 2024!
???? - Mystery pattern releases August 2024!
???? - Mystery pattern releases September 2024!
???? - Mystery pattern releases September 2024!
???? - Mystery pattern releases October 2024!
???? - Mystery pattern releases October 2024!
35+ Alternative patterns!
Beginner Friendly!
The projects in this kit are designed with beginners in mind with a scaling level of difficulty! You can start with our first, completely beginner friendly pattern, and work your way up in difficulty!
Full length video tutorials for each pattern!
Printer friendly PDFs
Interactive eBook
Bonus 10 chapter beginner series included
Weekly live crochet alongs with the designer!",
68,Crochet Planet Earth Amigurumi Pattern,$2.99,"Pattern can be downloaded immediately after purchase
In this planet earth amigurumi crochet pattern and video tutorial, we’ll guide you through the process of creating a cute and cuddly version of our beloved planet using a unique color chart and full length video walk through.
*This listing is for a DIGITAL crochet pattern in the form of PDF and Video Tutorial, not the physical item itself!*
*100% of pattern purchases are donated to the World Wildlife Fund to help protect our natural planet*","Description
The Materials:
• The Yarn (Worsted Weight)
– Blue (Oceans)
– Green (Land)
– White (Poles)
• 8mm Safety Eyes (*Optional)
• Keychain (*Optional)
• Size G6/4.00mm Hook
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
69,Sea Otter Amigurumi Crochet Pattern,$2.99,"Pattern can be downloaded immediately after purchase
In this lesson we’ll be learning how to crochet a sea otter! What’s really cool about this pattern is the added magnets in the hands that let your otter hold onto anything or even hold hands! So cute.
*Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– Brown
– Beige
– Black
•Size G6/4.00mm Hook
•Stuffing
•Needle
•Mini Magnets (optional)
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
70,Fungaloids (aka Mushroom Men) Amigurumi Pattern,$2.99,"Pattern can be downloaded immediately after purchase
  Have your own crocheted mushroom men keeping you company on your desk or hanging off your back pack! These Fungaloids measures about 3″ tall and 2″ wide when finished and includes a full unique video tutorial to help you get through the tough parts!
  *Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– Color A (Cap Color)
– White (Accent Color)*
– Beige (Body)
– Brown (Pants)
– Black Embroider Thread (Mouth)
•Size G6/4.00mm Hook
•Stuffing
•Needle
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
71,Planet Earth Amigurumi Pattern,$2.99,"Pattern can be downloaded immediately after purchase
  What did the earth say to the other planets? “Pffff, you guys have no life.”
  This crocheted planet earth amigurumi measures about 2.5 inches tall when finished and includes a full length unique video tutorial to help you get through the tough parts!
  *Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– Green
– White
– Blue
•Size G6/4.00mm Hook
•10mm Safety Bead Eyes x 2
•Stuffing
•Needle
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 2.5” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
72,Bokoblin Amigurumi Pattern,$2.99,"This pattern is available with a Club Crochet Membership, learn more and upgrade your account here
|| I'm already a Club Crochet Member
**This listing is for a PDF pattern with instructions on making the character, not the character itself**
Pattern can be downloaded immediately after purchase
Have your own crocheted minions as a finger puppet, sitting safe and sound on your dresser, or hanging on your back pack! This little Bokoblin from The Legend of Zelda miniature amigurumi measures about 2 inches tall when finished and includes 5 unique video tutorials to help you get through the tough parts!
*Includes full length video tutorial for the more difficult parts of the pattern!*
*Includes a printable version of the pattern as well*
Purchase on Etsy || Purchase on Ravelry
Get the full Legend of Zelda Finger Puppet Pattern Bundle","Description
Materials:
• The Yarn (Worsted Weight)
  – Main Color (Skin)
  – Salmon (Nose)
– Darker Main Color (Nostrils)
– Brown (Loin Cloth / Sword)
– White (Teeth)
– Sand (Horn)
– Beige (Arm Bands)
* Grey (Weapon)
* Purple (Tongue)
• Size G6/4.00mm Hook
• Plastic Saftey Bead Eyes
• Stuffing
• Needle
Gauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2” tall
Worked in the Round
The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– BLO : Back Loops Only
– Bo : Bobble Stitch
1. Yarn over, insert hook into stitch
2. Yarn over and pull through
3. Yarn over and pull through 2 loops
4. Repeat steps 1 – 3 four times total
5. Yarn over and pull through all the loops on the hook"
73,Crocheted Mini Ankylosaurus Dinosaur Amigurumi Pattern,$2.99,"Pattern can be downloaded immediately after purchase
In this amigurumi crochet pattern we’ll be crocheting an Ankylosaurus! This mini dinosaur pattern uses variations of Bobble Stitches, and a unique stitch called the Bean Stitch, to create bumps and spikes along the back of this armored dino!
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight Cotton)
– Color A
– Color B
• Size G6/4.00mm Hook
• Size 6mm Safety Eyes x 2
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” long
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
74,Under the Sea Crochet Pattern Bundle,$19.99,"In this crochet pattern bundle we’ll be crocheting a variety of amigurumi inspired by ocean life! This amigurumi pattern bundle features 20 different patterns each including a video tutorial and PDF!
*Every pattern in this bundle includes a full length video tutorials to go along side an interactive PDF with checkmarks and time codes to keep track of progress.
Pattern Bundle Includes:
• Octopus Amigurumi
• Squid Amigurumi
• Jellyfish Amigurumi
• Seahorse Amigurumi
• Whale Amigurumi Bundle (5 different whales!)
• Angler Fish Amigurumi
• Starfish Amigurumi
• Marine Minigurumi (8 different miniature patterns!)
• + 1 BONUS Secret pattern!
*Includes full length video tutorials so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight)
– Color A
– White
• Pipe Cleaners x 1 (optional)
• 6mm Safety Eyes x 10
• Size G6/4.00mm Hook
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1”
Finished piece is about 3” long
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
75,Bee Hive Amigurumi Pattern,$2.99,"Pattern can be downloaded immediately after purchase
**This listing is for a PDF pattern with instructions on making the character, not the character itself**
Have your own crocheted Bee Hive, sitting safe and sound on your dresser, or hanging on your back pack! This little Bee Hive miniature amigurumi measures about 4.5 inches tall when finished and includes 5 unique video tutorials to help you get through the tough parts!
*Includes full length video tutorial for the more difficult parts of the pattern!*","Description
Materials:
• The Yarn (Worsted Weight)
– Honey (Main color)
– Black (Hole)
– Green (Leaves)
• Size G6/4.00mm Hook
• Stuffing
• Needle
Gauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2” tall
Worked in the Round
The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– BLO : Back Loops Only
– FLO: Front Loops Only"
76,Hobgoblin Amigurumi Pattern,$2.99,"When a goblin lives past their low life expectancy and gets access to a bit too much food they become Hobgoblins!
This crocheted Hobgoblin amigurumi measures about 4″ inches tall when finished and includes a full length unique video tutorial to help you get through the tough parts!
Pattern can be downloaded immediately after purchase","Description
Materials:
• The Yarn (Worsted Weight)
– Green (Main Body)
– White (Teeth)
– Brown (Loin Cloth / Pants)
• Size G6/4.00mm Hook
• Plastic Saftey Bead Eyes
• Stuffing
• Needle
Gauge: 5 Rnds and 4 sts per 1” | Finished piece is about 4″ tall
Worked in the Round"
77,Flamingo Birb Amigurumi Pattern,$2.99,"Pattern can be downloaded immediately after purchase
In this lesson we’ll be crocheting arguably the most beautiful birbs, a Flamingo birb! I call these guys ‘Birbs’ because they’re secret agents disguised as different kind of birds! The combination of the beak and the neck make this birb really fun. I hope you enjoy it!
*Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– Pink
– White
– Black
•Size G6/4.00mm Hook
•Stuffing
•Needle
•Mini Magnet
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
78,"Flower Pad, Coasters, and Clock Pattern",$2.99,"Pattern can be downloaded and accessed immediately after purchase
In this crochet pattern we’ll be crocheting flower pads and matching coasters, designed to serve as both practical hot pads and drink coasters, and delightful decorative accents. The coasters can be combined with a crocheted pot to make a secret succulent looking planter, where-as the 12 sided pad can even be transformed into a clock!
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight)
– Yellow
– Green
– Brown
– Blue
• Size G6/4.00mm Hook
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” long
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
79,Avengers Pattern Bundle,$9.99,"This pattern is available with a Club Crochet Membership, learn more and upgrade your account here
|| I’m already a Club Crochet Member
**This listing is for a PDF patterns with instructions on making the characters, not the characters themselves**
Pattern can be downloaded immediately after purchase
Have your own crocheted Avengers sitting safe and sound on your dresser or hanging on your back pack! These little crocheted Avengers miniature amigurumi finger puppets measures about 2 inches tall when finished and includes 5 unique video tutorials to help you get through the tough parts!
*Includes full length video tutorial for each pattern!*
*Includes a printable version of each pattern as well*
Bundle includes instructions and videos for:
– Iron Man
– The Hulk
– Captain America
– Dr. Strange
– Thanos
*Includes full length video tutorial for each pattern!*
*Includes a printable version of the pattern as well*
Purchase on Etsy || Purchase on Ravelry","Description
Materials:
• The Yarn (Worsted Weight)
• Size G6/4.00mm Hook
• Plastic Saftey Bead Eyes
• Stuffing
• NeedleGauge: 5 Rnds and 4 sts per 1” | Finished pieces are about 2 – 4.5” tallWorked in the Round The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– dc : Double Crochet
– Tr : Treble / Triple Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– FLO : Front Loops Only
– BLO : Back Loops Only"
80,Legend of Zelda Pattern Bundle,$12.99,"**This listing is for a PDF patterns with instructions on making the characters, not the characters themselves**
  Patterns can be downloaded immediately after purchase
  Have your favorited Zelda characters crocheted as a finger puppet, sitting safe and sound on your dresser, or hanging on your backpack! These little characters from The Legend of Zelda miniature amigurumi measure about 2 inches tall when finished and includes a unique video tutorial for each pattern to help you get through the tough parts!
  *Includes full-length video tutorial for each pattern!*
  Bundle includes instructions and videos for:
– Link
– Zelda
– Sheik
– Fairy in a Bottle
– Bokoblins
– Ganon","Description
Materials:
• The Yarn (Worsted Weight)
• Size G6/4.00mm Hook
• Plastic Saftey Bead Eyes
• Stuffing
• NeedleGauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2” tallWorked in the Round The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– FLO : Front Loops Only
– BLO : Back Loops Only
– Bo : Bobble Stitch
1. Yarn over, insert hook into stitch
2. Yarn over and pull through
3. Yarn over and pull through 2 loops
4. Repeat steps 1 – 3 four times total
5. Yarn over and pull through all the loops on the hook"
81,Seasonal Kit — Space Crafts,$80,"In this seasonal kit inspired by the cosmos, you'll find a variety of space-themed projects, from aliens and UFOs, to the stars in the sky, and even the planet Earth! With a string of lights and keychain, stuffing, eyes, and thread, plus our exclusive Club Crochet Amigurumi Cotton yarn, this crochet kit has everything you need to never miss a stitch on these interstellar creations.
What's Included:
This kit includes all the materials you'll need to make all 6 projects in the themed season PLUS 3 month's of Club Crochet Pattern Membership with access to over 300 additional patterns in the library!
The Materials:
6 Balls of 100% Cotton Yarn – 200 ft
Red, White, Yellow, Grey, Sage Green, and Blue
2 Mini Balls of Yarn – 25 ft
Pink
Black
6mm Safety Eyes x 10
8mm Safety Eyes x 10
Black Thread - 10 ft
Keychain
String of Lights
Strong Wire
2 Stuffing Packets
The Projects:
This kit includes 10 Unique Projects designed for the materials included. However, it also includes dozens of additional alternative patterns that can also be made with your membership!
Rocket Ship
Stars and Moon Amigurumi
UFO and Alien Amigurumi
Planet Earth Amigurumi
Astronaut Amigurumi
Sun Amigurumi
Bix the Alien
Saturn Planet Amigurumi
CroBot 3000 Amigurumi
35+ Alternative patterns!
Beginner Friendly!
The projects in this kit are designed with beginners in mind with a scaling level of difficulty! You can start with our first, completely beginner friendly pattern, and work your way up in difficulty!
Full length video tutorials for each pattern!
Printer friendly PDFs
Interactive eBook
Bonus 10 chapter beginner series included
Weekly live crochet alongs with the designer!",
